Parameter,Value,SD
A.GCA.log.mu,-0.213343802209253,0.00994776803609652
A.GCC.log.mu,0.423707538461811,0.00822050428743876
A.GCG.log.mu,0.626242159157809,0.0141635967451077
A.GCA.Delta.eta,0.483333562294287,0.0140582558632133
A.GCC.Delta.eta,0.062973880653373,0.00435918824403044
A.GCG.Delta.eta,0.676141162336053,0.0214072245763887
C.TGC.log.mu,0.264176335886718,0.0155290302467535
C.TGC.Delta.eta,0.383881626669658,0.019686480835448
D.GAC.log.mu,0.734201098220411,0.00644213067543562
D.GAC.Delta.eta,-0.124673240699105,0.00543660733199792
E.GAA.log.mu,-0.654021190399913,0.00708766137032185
E.GAA.Delta.eta,-0.267217637994751,0.0088688023074144
F.TTC.log.mu,0.597768255166593,0.0081876021537418
F.TTC.Delta.eta,-0.289353558875046,0.00941754912530812
G.GGA.log.mu,0.0350501232128506,0.0141894581049429
G.GGC.log.mu,0.401921439687551,0.0115902582636004
G.GGG.log.mu,0.699164073165059,0.0152402986782223
G.GGA.Delta.eta,0.863688375970509,0.0245139108364972
G.GGC.Delta.eta,0.471018295803216,0.0146536056012329
G.GGG.Delta.eta,0.744964182279305,0.0225713951092543
H.CAC.log.mu,0.746191313247249,0.0107340196920492
H.CAC.Delta.eta,-0.20328287337972,0.00956205446238323
I.ATA.log.mu,0.0313146414757754,0.0116693582750579
I.ATC.log.mu,0.669639075186613,0.00702375607319768
I.ATA.Delta.eta,0.822799043011281,0.0235030867000913
I.ATC.Delta.eta,-0.0973963956413628,0.00464739536335085
K.AAA.log.mu,-0.54869899481286,0.00639395654693158
K.AAA.Delta.eta,0.279302799359331,0.00817801310497929
L.CTA.log.mu,0.470168362847967,0.00862357294184086
L.CTC.log.mu,1.09920747767427,0.0152999918693143
L.CTG.log.mu,0.561246653756235,0.0108163395176865
L.CTT.log.mu,0.444815168029069,0.0103686651142484
L.TTA.log.mu,-0.168256832737379,0.0071994014739067
L.CTA.Delta.eta,0.268289628667753,0.00945882055084969
L.CTC.Delta.eta,0.770294469850479,0.0264547717141972
L.CTG.Delta.eta,0.499567947014702,0.0163235302413873
L.CTT.Delta.eta,0.481402986375446,0.0148939409019707
L.TTA.Delta.eta,0.222487455907324,0.00707781583213192
N.AAC.log.mu,0.613857186917623,0.00724651731111778
N.AAC.Delta.eta,-0.323888209251529,0.0100331323464771
P.CCA.log.mu,-0.0669658076369176,0.00909898807107876
P.CCC.log.mu,0.482952941064399,0.0121009460916657
P.CCG.log.mu,0.587720710183628,0.0153098942590429
P.CCA.Delta.eta,-0.246642861649029,0.00911372690109686
P.CCC.Delta.eta,0.291421916770514,0.0157541931352167
P.CCG.Delta.eta,0.599737564030033,0.02500216297853
Q.CAA.log.mu,-0.503315040456276,0.00992257696610489
Q.CAA.Delta.eta,-0.409465077083264,0.0143903803883649
R.AGA.log.mu,-1.21208974619278,0.0100691031870848
R.AGG.log.mu,-0.807789821295126,0.013573814109942
R.CGA.log.mu,-0.158981956957576,0.0259740201234871
R.CGC.log.mu,0.487010323993524,0.0205998605385014
R.CGG.log.mu,0.418500308607454,0.0291659921537765
R.AGA.Delta.eta,-0.0102562528808102,0.00544338180167167
R.AGG.Delta.eta,0.556125822884478,0.0182412307383058
R.CGA.Delta.eta,1.78551089264302,0.0587275127609607
R.CGC.Delta.eta,0.578445256082783,0.0279413783362251
R.CGG.Delta.eta,1.61991007022391,0.0641409933219048
S.TCA.log.mu,-0.0660043838785596,0.0089173528707702
S.TCC.log.mu,0.519925069139173,0.00774249021357687
S.TCG.log.mu,0.641772058307592,0.0115427953632246
S.TCA.Delta.eta,0.392486529962597,0.0121631041727057
S.TCC.Delta.eta,-0.0127998542041392,0.00441290284185179
S.TCG.Delta.eta,0.506173495126965,0.0173558077772722
T.ACA.log.mu,-0.165894936381091,0.00918085380811519
T.ACC.log.mu,0.540769559466278,0.00799101863978958
T.ACG.log.mu,0.488408904104203,0.0131545387466763
T.ACA.Delta.eta,0.383725519443742,0.011636301926937
T.ACC.Delta.eta,-0.0543193100346155,0.00444633393089879
T.ACG.Delta.eta,0.617696959878186,0.0200075247072555
V.GTA.log.mu,0.148460815302851,0.011782956803241
V.GTC.log.mu,0.722776238869769,0.00828205463587038
V.GTG.log.mu,0.378343051339924,0.0106430243360163
V.GTA.Delta.eta,0.604569672765122,0.0183290372448803
V.GTC.Delta.eta,-0.0590327562219735,0.00415865140537763
V.GTG.Delta.eta,0.387883450484935,0.0132757464292479
Y.TAC.log.mu,0.498348082352816,0.00905874429583177
Y.TAC.Delta.eta,-0.302437844316611,0.0103980229871066
Z.AGC.log.mu,0.359565666952381,0.00990151797479054
Z.AGC.Delta.eta,0.0314715252901153,0.0114824425636785
